loan_id,customer_id,loan_amount,interest_rate,start_date
LONVXZ0PJDG5O5N,CUSVHH6AU0CBQWT,48763.73,7.23,28-08-2021
LONS7RM15YTSFVI,CUS87XIR2G42B7M,84452.41,3.36,24-11-2021
LONAM8V57SGA3NY,CUSF7QRPNUVND2C,41161.98,9.59,18-04-2025
LONHWTUV2VO3N46,CUSXL9U0N938TFS,26127.76,5.4,11-12-2022
LONTXMNBUQOTTLQ,CUSFEEYZHWOO3XD,500,7.31,21-08-2023
LON9QELS2R9ORHQ,CUSCXABFAQZ4N0Q,30311.41,4.71,12-11-2020
LONFSR92M5DHXML,CUSQ5D6DCYZ4USV,44107.72,9.12,02-08-2023
LONW2T7R251UGB9,CUS3B1QWWLCJVUA,6742.53,7.53,19-06-2025
LONJS5S6T9XGB9Z,CUSC4MTB6K5Z1N2,7254.61,5.45,25-02-2021
LONO9BC5HAKWJKB,CUSNM6MP3WL8DJ8,6389.74,15.63,17-09-2023
LONOGKHROUKML79,CUSCXLZ33A1E8BN,43090.31,9.34,12-02-2021
LONW4NN39G28HHU,CUS7U89I8PIUOO0,500,7.85,06-11-2023
LON23IZFLRO9OI3,CUSGXHBOVD6RL5O,16782.63,7.42,03-04-2019
LONW0V4NUIC4XT7,CUSZ1IG4QUF753K,9648.26,14.46,17-01-2023
LON17B8ZAQH6C8L,CUSS2NGO4XMGA0Z,27352.94,7.77,06-03-2021
LONONT1N6W9RYZN,CUSPFHP2SCAPMRR,20831.97,9.11,04-02-2023
LON3KLBLYBGSMJ4,CUSH4VWTV7K5UGL,45169.06,4.97,28-12-2025
LON4HWS3RZ32HP5,CUS5SBIH6HO46QI,24348.49,8.52,04-03-2019
LONKL54RJYYRZAE,CUS1A5QODW4LGOT,30335.92,1.79,20-02-2025
LONMZJXTB3EK5W6,CUS4AMR31KJMQYQ,58717.05,3.4,11-12-2024
LON4LDZE0KUOPTT,CUS2BIMQPXNOD0N,1839.17,15.08,27-06-2022
LONJ4QPF0BLHDZB,CUSQ6KOKBTPOEW5,35133.02,5.16,03-08-2020
LON7DOV4LBQJLWY,CUS7ZQ2KJ8YJR06,68541.42,7.84,05-02-2022
LON5T1APU2LGELX,CUSDEEI9YRJW8MM,52375.99,9.53,20-11-2022
LON8XJVQE6P3AMJ,CUSMBRUO2X3YVLQ,80191.98,6.58,21-04-2024
LONCVCCGRFFA6NG,CUS3W7NUGWBIZ7Z,29701.93,7.8,03-10-2022
LON9XO68RMP8O0K,CUSH95H3WXEVBMK,29350.33,8.86,14-10-2025
LONE34M33WAD1TO,CUSWMNA6VZ97LD8,50197.63,6.35,19-04-2020
LONUG55GG7U30QW,CUS25ET5A7OR4V7,18003.54,7.37,27-04-2021
LON4K921JU84RGO,CUSEIBNMRQQCDSR,842.82,6.89,04-08-2020
LONT0M7V9A39EJX,CUS2DCVXBPC9QBZ,45347.52,5.13,05-05-2019
LONKBKV3G6ZGB4H,CUSSQ0QNT472AJ2,3124.18,11.97,24-02-2024
LONX8WSEZ1FGNZZ,CUS4PRCS2D88T98,57663.62,2.87,01-09-2024
LONOOIYGRXYXPPK,CUS6104AD67MEXA,4431.74,17.06,26-11-2023
LONWSI1Z4P3YOLJ,CUSL12UB9CRZY0H,36529.77,12.78,18-03-2020
LON0PEJO6R245J5,CUSTW89OAUBCZEA,10180.63,19.44,07-08-2021
LONY4DNFUTTE6OZ,CUSJNRDS17CPE7J,9880.23,6.73,07-12-2022
LONSSAETUKY1RF2,CUSVO9QT9HGYR9N,18824.83,5.99,08-01-2025
LONG3KSBXRMM8D8,CUSAODI90WMVBMJ,80440.43,4.35,14-12-2025
LONRKUBD6435TAH,CUSBFP1Y8GBTJDM,32084.34,5.98,11-08-2024
LON06ZUJPRAVR8V,CUSOD1RWSYS8V04,19315.5,8.82,12-09-2021
LONJZWVASOK8PK7,CUSTYYRCU6IBSSH,34141.49,8.42,15-03-2019
LONZ92CE3D2I110,CUSJHYIRIXZC8M6,16945.78,10.53,23-07-2025
LONS84BMCRZ86IH,CUSKW3SPKS337J5,39033.53,7.72,23-01-2022
LONGGGDGGXASWHE,CUSJXMNQJF5XVKU,24068.12,3.56,21-01-2023
LONPL0LKGXUARUZ,CUSKWJT82D3BTKK,12726.96,9.36,27-02-2023
LONPIWMQJUNY983,CUSNBBKQ1ALKKLY,11461.22,9.73,23-01-2019
LONHXDBJDM94K3S,CUSEBC98FHMOFZ1,45043.41,6.75,14-02-2025
LONSMSXQE06HC5Y,CUSRT8T07LRDXTK,45264.16,11.23,18-02-2025
LONEXON0ZBF0DPU,CUSVOAPN9KPB2OQ,56325.71,10.61,07-09-2019
LONG1T2CEL0K82U,CUSBS4XQL5PC9GS,38668.61,12.6,01-04-2023
LONOM4OIA0SGATP,CUSLG3UA59G9FL4,54631.1,4.12,09-03-2023
LON4O8M63Y6X6X4,CUS28FOM93LX8HC,6171.04,7.12,03-01-2021
LONW2YWG7OE1FQ4,CUS3N2KRG7WXC49,17728.53,10.17,18-04-2023
LONUP3KUAME9VYY,CUSBE4J7G5F5HWH,16765.94,17.43,22-01-2024
LONBPPDYABO1VLY,CUS5OR27NW3MO20,11842.9,14.98,21-10-2025
LONVMZXHI0E02VR,CUSCC32EWZWHWBQ,16907.42,8.46,09-10-2019
LONLKSSY3AI7XOL,CUSEEFCDNHS4FLX,35636.77,6.79,27-01-2024
LONQ1Q79CPXHMU6,CUSXZ4EI8A50FCM,48071.3,6.6,04-03-2020
LON72WPQZQ5P260,CUSOFMQVREOEJLS,31716.42,4.54,08-06-2025
LONNB0QX91PFWZH,CUSSPZ9YKD4FQXX,5991.27,13.37,09-09-2020
LONIW19L1ZVKH1U,CUSPOQM5YM7RGUP,72062.71,4.12,08-02-2024
LON1HW43TLZD4DH,CUS5FI7KPPWA0VZ,35456.94,8.64,07-05-2024
LONY4B3NMS7PULV,CUSEY4B5BTFN57T,500,5.72,13-09-2024
LONIV5PLBPF5OUQ,CUSG8WOSA3CDV92,16675.02,7.28,11-08-2021
LONBR6IXQHDY3NF,CUSE3PV9YCQ6TZV,25785.32,12.12,15-08-2022
LON3YE6RDQBUR4X,CUSC9SIL5JGKANI,16592.03,11.22,25-07-2019
LON475P8YZT00QW,CUS9M697FUXFN0R,35289.07,4.12,05-02-2024
LONYS79AEE4V8CX,CUSENWXRCEK23GP,55267.87,11.76,07-02-2022
LONB1ONTJ7XHY05,CUSCTGT2LQSA5WG,26094.08,6.39,27-09-2020
LONVO3ESY9TVIWE,CUSECRLNKWUZIKJ,30337.72,5.62,18-07-2023
LONR5QGAHNDLJ8Q,CUS8S5S5VTVRKCY,10426.67,15.42,20-08-2025
LON6S668ED6WVU9,CUS0PLT6LAN0J61,2910.11,10.67,01-10-2022
LONUK1M0NI0IDOI,CUSDDLJ6AXVLCGD,32863.77,10.88,11-11-2025
LONQL456SCZZQHE,CUSYY66NQ2IGMYN,41412.56,1.54,08-01-2024
LONUF5EH3FMLCYL,CUSH0E8BCAOKPM4,30480.7,8.01,02-03-2024
LONNO9IXLVHCMPH,CUSVTSETO4KTSM1,27392.11,9.5,14-09-2024
LONMQ0D19WVP85S,CUSXBOUO5WPTUY9,25950.84,10.58,10-03-2021
LONV66FNXYQQAU4,CUSZLEJG4U2SHES,40342.81,6.97,07-11-2022
LONDHXR8XYBPOOO,CUS912A4HHDPSIU,61459.11,3.97,10-12-2020
LON5OFTQLA9Z19W,CUS3NVEC6YB4VW9,1226.96,15.14,17-06-2023
LON4I9DNVCPIYCB,CUSC8JVEGYKBKA6,6334.21,10.81,22-05-2020
LON0PM39K0BXPGD,CUSF6EQ2OH0I8J5,21465.11,6.51,19-10-2025
LONEABN5VY1TRDF,CUS6ME79H43F1U2,41012.33,10.81,01-11-2025
LON7KTUV98DP3S8,CUSTTT6KMW620XL,31110.92,3.96,17-05-2019
LONAQ73XT4XFS8E,CUS7UXJAWSYTEDM,23093.8,4.37,22-07-2023
LONHDH9P0ZDTHS7,CUS781S18HH5D9P,10235.57,12.16,28-06-2019
LONEGYBS74D5A82,CUSVV8S5E8YRRZB,70769.74,5.63,04-12-2020
LONCYOCFCRN2EA4,CUST5Q4GKY6AISW,13670.3,12.68,01-11-2020
LON8L1IQ0EK3H4C,CUSGQNLKWWWIFI7,18943.99,2.24,24-02-2021
LON3B9K09Z8Q67Q,CUSFR2T97JQ5K46,36998.51,2.11,18-02-2024
LONFIVDARTGRBWQ,CUSIH8SSMLK3UTF,47724.54,9.48,28-08-2023
LONZHQE2LADD43B,CUSAEHL40UJSYVV,9946.8,8.41,05-12-2020
LONWDHQB76IY8VJ,CUS8PFSEFXWSCHY,22256.74,9.33,04-09-2024
LON1PS6M32HV32C,CUSDIH0PI48P0YQ,14222.57,14.22,14-09-2020
LONGOB3XOEEYF46,CUSFUUY918H47NP,18311.5,13.96,20-03-2021
LONDJHGK9PYVRZG,CUSG4ZA8V1FYDMT,12028.39,14.28,06-01-2022
LONI5U74UU08KDY,CUS454E0WR5JFXR,13687.83,14.61,22-09-2021
LONHO315OR19CBN,CUSTUZBU68DYU1U,37965.4,7.78,22-06-2021
LONK2CWDLOEHQSJ,CUSM8QTL0JJFTPR,2294.27,10.2,27-05-2025
LON6PENC75AGB3V,CUSTC27G4OE881D,26422.54,6.95,20-10-2020
LONSBUJU27QN8JP,CUSM2YJ62BAYQKT,45781.42,8.96,16-09-2024
LON5AKM5RKB6GPO,CUS8MWJWDGXUIB1,62065.36,4.86,16-03-2024
LONQGDTWGF9IBII,CUSV8231L2SLXYM,32282.53,3.81,15-03-2022
LONMKYMXQ6HY3AY,CUSOYW7YHRJRRID,28119.14,13.34,03-01-2020
LONMVFIPHC4DFYR,CUSSIMRKVN5UFRV,5671.72,7.37,22-11-2022
LONODZR0F39M2HS,CUSHB63N9TCXRP6,6119.31,14.47,17-08-2023
LONACOCZIQAHW3Q,CUS79ES9M8YDMIW,45568.42,8.11,11-04-2022
LONN9KGEJE65EG2,CUSQRTO6JITHYKS,30925.18,6.65,04-04-2020
LON8UON10EF932T,CUSSQJOBECUNE0W,500,14.69,25-10-2021
LONT60HCDHN11US,CUSVRQRSR9Y9U0O,24650.73,8.36,26-12-2020
LON8VWVPO40S0EW,CUSP3QZZCYLYP9C,56153.15,5.35,02-05-2023
LONQX7EPOTY2LUI,CUS109PVKPOYDEW,7769.21,3.68,25-06-2021
LONASE8GZST2CXL,CUSXCRJ3DLHZD2J,11505.89,7.66,18-11-2025
LONHE93S6TUYW5Z,CUSC3EX0IQL883A,79167.68,4.46,13-08-2023
LONR0F41Z1MEMIU,CUSFCUWN3AXHQZ0,26131.32,4.65,27-03-2023
LONEPC48N052LZ5,CUSB1C5WTJXEWFP,16823.67,15.15,22-10-2024
LONUDPOR65OR6LZ,CUS806MUKWFD9Z0,65757.48,2.28,01-05-2019
LONFOXMXQSPUZDC,CUS2PMV00WIBIIR,32689.5,7.15,19-02-2024
LONNA1JHTDKBYTX,CUSL95IZTCHRQU3,500,9.18,24-08-2019
LONRAIJLLYQA7UW,CUSCMSIWZHB28PJ,63502.91,3.52,10-01-2021
LONW7FX73ABORT5,CUS3IFXO7XH3LKX,21165.9,10.43,08-09-2020
LONVZLZSPC7JM8R,CUSRKVTUO155DTV,27866.03,6.84,15-05-2024
LONZLWEQ8J1XX3E,CUSED5ILLRXX5QK,19344.04,9.38,27-05-2023
LON1DQKH39UKCFX,CUS4KC3CSIL9PB7,39989.94,3.83,08-11-2021
LONNE5LXVGXMHJ0,CUS6IA8JQN5RP6F,34661.39,11.53,03-02-2024
LONPSR7QR4VE2PG,CUSZISN7NAM6YAE,59437.74,4.89,18-04-2023
LONIBM9VMZ1V0F6,CUSNVVTS40LER2Q,23518.57,2.13,03-08-2023
LONO58WO4LET8S7,CUSFAAYGU596Y94,33922.12,7.39,01-12-2020
LONY95GO27P8I4J,CUSWOTK51I4AKSJ,15962.17,2.91,10-12-2025
LONVEGQRS2GWOG5,CUSC57Y7KGLCJWP,22964.69,3.8,17-05-2021
LON9ANA9RUXYW2A,CUS6CTCKJ7209JT,500,10.36,18-02-2023
LON8JC2FUBDV23Y,CUSJR5LF7FTDCA2,18503.77,10.89,06-09-2020
LONEGO1ELJFYRGP,CUSFBWNDNDE3S4O,4650.03,11.29,12-09-2019
LONPP3OX4Y0CKG1,CUS0NDFTQKNLTDN,19894.93,10.3,01-11-2020
LONJKKGMRUMKQ5N,CUS1NW2BC1VXINO,16309.07,11.1,24-01-2020
LONRQF2LKZ1OQS4,CUSOTVMSVYS70AT,24100.38,6.28,22-01-2023
LONN1QY8UAY1BXB,CUSWV2LQJE40417,9300.1,7.18,08-06-2020
LON82M1FOG5Q9QY,CUSLAOPOWW2C4VI,30233.73,7.66,15-01-2022
LONMCBVBMKERQC6,CUSF70T9JMLKHUF,41559.51,4.38,14-10-2024
LOND4KEXHR6BOMG,CUS7GAB7SFE6KWN,46364.02,11.61,26-10-2025
LONKCT99QDMCCO6,CUSXR50I2GQJ94A,28130.73,11.12,20-04-2023
LONLEHLURUY2CAH,CUS9U2F3ZK1YPST,34869.01,6.1,14-03-2021
LONHCLN7TAVGX7N,CUSBH16XVBY26PE,500,10.93,14-07-2025
LON9XUS2FOG4EFL,CUSZQXUV3G8Z982,82776.84,2.1,10-01-2020
LONUNL882SD6MPK,CUSFAY1CFRSJWR6,13632.21,10.57,22-05-2025
LONKX9NJA76IGZX,CUSXUCRLPOOZRF4,28932.63,8.84,14-04-2022
LONRGPHUAORX598,CUS8O20NBBVRF5X,31567.88,11.17,17-08-2025
LONDYWN5EREURY8,CUSMC23O8VJLRSL,49829.1,4.47,15-12-2021
LON0BTFOI4PFVX3,CUSO8170X01JO5X,45557.87,5.89,13-05-2019
LONJPA5TBLU558A,CUSK5G7AHIRR2LC,16430.55,6.7,04-08-2022
LON7SAJI8LH819S,CUS968Q4SP0UJMO,54805.21,10.9,11-05-2019
LONYWMRR1G9ATZZ,CUSHV3V3Q105377,34847.19,9.26,12-03-2024
LONBAZU4C0KGHN6,CUSQ3Z0V081LTLR,66068.24,3.44,17-05-2024
LONWN53MAI0499D,CUSFJR25YP2MZW8,25709.12,6.32,07-01-2022
LONR0AKC1LABZ0V,CUSUTRSOF2D4O5M,3665.6,17.38,26-11-2022
LONHFZA5ES8Y89H,CUSW2P4V54P4SMS,29756.62,11.57,22-12-2024
LONAB7YT888YIC9,CUSIN6H8IZBBC48,15805.71,8.18,23-07-2023
LON6ODFLDKVAUOW,CUSJQ43RXWSPUCM,4496.28,8.66,15-12-2021
LON1R5IYMKFA9QT,CUSE1QRM92A1JUA,48004.33,5.72,20-12-2025
LONT045FIQNVSNK,CUSERK4K06K8PMT,27090.04,7.21,27-12-2021
LONDESA78DRND1B,CUSYHKO8N8U5YQ8,500,9.65,24-03-2022
LONK5VE78P0VBRJ,CUSJR8AV8QSDXIQ,500,18.92,24-08-2019
LONWIZJI3MUYBPK,CUSFUIYIVUZRA2M,6216.92,13.84,19-05-2021
LONIZE03X1BLYYM,CUSVR285WCH2HGT,26970.23,9.05,26-10-2021
LONBM65YBY6XBJN,CUSWIYTRFT60I05,51109.81,1.84,27-06-2025
LON8TWEDLWNOXF5,CUSCWJOWIACGPB8,3426.14,10.09,21-08-2021
LONAKW9MNPOXS09,CUSH8RW03VOMS2D,30886.05,9.85,08-04-2020
LONAJ72JLEPYLOY,CUSRZJW1EA3DADD,11458.11,9.2,08-03-2024
LONYUM3T1389ZTD,CUS90NZDB39ESXF,50519.96,6.87,15-06-2022
LON9RSFXS5P8YGQ,CUS50DZPO8I87R2,10782.56,12.96,23-06-2022
LON23UM3UZ8U8LO,CUS6N2JGLEVVNP9,16174.04,6.08,28-12-2024
LONK1J5F8JDAQ5K,CUSKHEQTEVELNZJ,18050.45,12.0,26-05-2021
LONKVCNETMT3BX0,CUSC2DOL8421SDK,9627.46,6.53,07-01-2025
LONVAP11WL9IWWZ,CUSR0HY0REGVTJZ,13591.34,10.6,07-12-2022
LONJKJ5ZOAQFQGP,CUSQ0NDQRBG4DQZ,49587.5,4.94,03-12-2021
LONTOH26DIPD77I,CUSNWZWJRTWR7R8,30188.93,7.33,24-01-2024
LONDLBFK0JG68QW,CUSJHOTLL0A9K93,23003.03,7.55,28-11-2021
LONK80RVTPSYO6C,CUSH65I4BUTILAZ,8099.96,7.06,11-11-2025
LONER6DX7VR17X1,CUSEU545WDC1MZW,58108.82,4.37,09-08-2023
LON1YK0LCBHZHBJ,CUSH4G5XP9DE83V,31992.7,4.88,06-04-2019
LONPSSS73AQ9BD7,CUSTNUWYYITLB6U,24055.71,8.16,26-02-2020
LONYS31MAUNSQQM,CUS13DCVYOGS3FJ,11264.95,14.04,05-12-2025
LON2UESCCJXXXPM,CUS7ERMI9F7WXM0,30383.98,12.41,27-10-2020
LONRSL3QSZKSM7M,CUS60UZB1OD787V,500,9.74,23-01-2019
LON4WW2EYNAXPJW,CUSM5M10U3HUVQB,1170.58,9.77,11-06-2020
LONZ5BZ2S3UT9FF,CUSN9QU4J67CEH9,33956.54,12.72,25-04-2024
LON07DTRZ0UMOC2,CUS67JA322XWDB0,37278.2,15.77,18-04-2019
LONQCWEZ6UXZILK,CUS70DBOFVTUTTQ,32544.37,7.21,01-09-2019
LONUPMNNK6OIAP5,CUSUHQ5NP4TFZGA,45669.4,3.45,13-06-2025
LON5UD00SI9HLZE,CUS7OP1DULPLXUV,24860.64,10.01,12-08-2025
LONC0D8L932SHBL,CUSMJLS78KCTLB6,500,8.07,08-01-2024
LONHSJQ2RTVS1DX,CUSA02Q75P85RMQ,53080.94,3.89,16-01-2025
LON8SNYP5KAEINK,CUSYKD0FG6BPZO9,37427.05,8.68,23-11-2025
LONGRBJYCEQOIP2,CUSBR3M135YKMUT,9600.55,8.58,04-02-2025
LON7S74YLKTPXB0,CUSUC4J9CYW18EC,40993.3,5.54,25-03-2024
LONTPSSPYJYEL2L,CUSDB2XS3HDP7FS,500,10.11,08-07-2022
LON95YWN8YR3US3,CUSSG2K14LBJIB3,34448.88,12.94,14-09-2019
LONXW822QH5B5LS,CUSBPUDOAOMZCEU,6664.23,13.67,07-10-2025
LONMMC04EMXAVFS,CUSH4RMFG1HUSYX,47751.16,10.58,24-04-2025
LON704BQD7DYHWU,CUS260C1JM508DV,24795.96,4.4,22-06-2022
LON40U3JG0FLF1M,CUSTL66HATKKLA3,946.05,11.38,17-08-2023
LONM6EBQV29YT5U,CUS4OEURUHQ22WV,33866.12,4.36,07-01-2021
LONIPADJ512P52W,CUSNBZA8JSXWSMS,14272.06,15.95,16-11-2020
LON9LOO8MCV31UL,CUSBCZII44FGZXZ,33143.5,4.81,07-03-2024
LON56RK4GZZOSSL,CUS2O6GJY4NY0UU,49014.71,13.64,25-11-2022
LONZ7XU459SWB7Y,CUS9HBPIW4T38YY,42066.37,5.34,15-12-2020
LONLWHMJ2X11E4J,CUSGMTO5WBZO7IW,67771.4,9.41,28-10-2025
LON9E1P02G16JXB,CUSLR1ZARBE6VOF,22872.91,12.83,17-09-2023
LONSBATG0IS133K,CUS71UG0V3595P0,16629.43,17.51,19-04-2021
LONFCVUEPLRV8ML,CUS682XLF2AJDU2,54421.22,4.07,23-10-2020
LONCT0ZOH3WEEIT,CUS4X8RJL57GD63,67546.2,2.91,18-11-2023
LONIB47B1THYVR7,CUS0V57KPDH1HSL,48277.98,8.12,04-12-2019
LONEFV8RALWXTCP,CUS9KCX0667LEB4,46160.03,3.82,16-11-2025
LONDZA9XAD0W0GA,CUSQHD3ZSTFMIM3,8013.44,14.57,06-04-2020
LONRAS52GKTQ3A8,CUSKCUX5I2WFMI5,25686.83,11.4,27-07-2020
LON3ISYBRT00V3K,CUS0V60OVKQFZBL,500,7.27,08-11-2023
LONR5DFA34DDGIM,CUSK34MLVV9USBF,20476.21,7.01,02-08-2019
LON8ZD2QDVXMXMD,CUSNAV0MJNDXY1C,20211.16,7.58,14-11-2023
LONGCX97CG8QOGG,CUSMAL4DL1X2BK2,10583.99,10.56,01-02-2022
LONTRQOJ3LGXMIM,CUSMF0FY5C361O3,7302.96,9.04,06-12-2025
LONQFZVEPS7EMWP,CUSDDX16RLOEMJO,15555.37,17.79,20-09-2021
LONDFG01QGC7QSW,CUSDW988DMT8WZ7,13402.57,7.79,14-09-2020
LONNI9769QTO9UX,CUS9ZAT42TT6IG8,57775.33,2.38,26-08-2020
LONK1Q9Z6RYFDPV,CUS50K2GDAJ0UL7,23496.97,8.25,13-11-2020
LONGVB2G4TQI3LN,CUSQEUEHXCB5YZ4,89581.01,7.33,10-12-2020
LONFXVHL9JJ5QG1,CUSUIQIF51CGDE8,31994.64,6.23,21-12-2022
LONRIEBHLZCRD4F,CUSL9FEBU79MW51,16958.47,9.33,11-10-2019
LONN8PKALUUNDH9,CUSC12M6QK96HZQ,36021.51,8.73,11-05-2024
LONLDN9YMK01G89,CUSPVSGEC79M2V7,21977.92,2.93,23-04-2024
LONZDWC5IQ03Y24,CUSK5QBAM71WS98,25030.99,6.9,14-10-2024
LON2GS25O07NMFR,CUSMAPJTRVI2843,62786.11,5.17,15-11-2024
LONBIRBSMQ39HFO,CUSSN7KAI43OM7P,500,12.3,24-10-2020
LON0EX6WBXFEQK6,CUSCTOUY4SXTLX0,23608.86,7.98,26-09-2020
LONFU57T0OOL5L4,CUS4PUUWZA75DF1,64242.78,4.27,11-09-2023
LONU1F1IL4G8TMZ,CUS0TH9RQYJDAY5,54701.96,7.69,07-11-2025
LONYPGSE4TXJ96B,CUSENJRBUB5FE3H,27085.74,8.34,28-08-2024
LONAIK9LN6XK8H9,CUS59DM7P6ZGFMI,23113.71,13.26,23-01-2020
LONPYPI7A8JCAGU,CUSUVXONNR0RW86,25921.02,5.69,22-01-2021
LON2W0QJP3UEIFP,CUS7W44W1AG9MIT,23272.85,8.52,16-10-2021
LON5F87W3B2AOJD,CUS9O6NREDBODYM,4683.94,9.31,27-10-2022
LONCIP31JK3B1V7,CUS7Q3B5NO35PQZ,38520.06,10.86,11-12-2020
LONNJITJM1G2WXM,CUS8ZSHSD2KOAVS,49831.29,6.65,22-01-2021
LONHPQTZFC2PC07,CUSP3F3ULQI5H8T,22477.21,10.75,19-01-2019
LONJ6CPPMRPKH7P,CUSBR2WLTSZFF31,10010.94,2.22,21-04-2022
LONKO8HAEYMHQCH,CUSMFYJKIJHM0U1,50592.66,3.45,16-01-2025
LONYBA02GZQ0TMP,CUSGDAN0ANK2FKM,27776.26,6.64,28-09-2025
LONELS8T4KMRSZ7,CUSLMULWEYMZKB1,9919.15,9.88,06-01-2020
LONZ2S4ZXB1DQHE,CUSUXXR8L6YB006,32589.89,12.26,09-11-2025
LONPLEN7B2M98EC,CUSV3JP4HYXGXFY,5623.35,13.27,17-06-2023
LONDNFFQ27KNPCT,CUS0O2G9A7DN2ZJ,22266.74,7.37,09-09-2025
LONZA7TP555U1ZM,CUSOBJH9WGF54Z2,5314.44,7.37,26-01-2023
LON9OPWQNUWRODU,CUS3KUB1C2XH717,23772.4,5.9,10-10-2024
LON1E6XWWYG4TT6,CUS4SNEPZA6ZYZH,2626.09,11.27,04-10-2023
LONBVV6GNLWEGHK,CUSIWYPAQ2CAN38,67584.59,6.55,07-08-2019
LOND27SEK88VNFL,CUSEFGOHN3MET3G,3485.91,14.39,19-05-2024
LONGBZ6TZAGHOIR,CUSZTRNTIWYHGWZ,36597.25,5.53,03-01-2025
LON2MCJO6Z9Q9FW,CUSNENG0S8Y6FU2,6172.33,16.76,12-02-2020
LON7MEUY7BH4YUT,CUSKSAEQM0W0ZPN,29686.51,9.23,03-01-2023
LONF7ETY8I4SI83,CUSR96NRUCK48KX,7827.73,17.42,07-01-2023
LONGV3Z2FCVONBQ,CUSMI18VU9KYLFN,28589.38,11.88,10-10-2021
LON2AM4YC9BEDT7,CUSTT7RQOIVTD8N,2188.36,9.1,22-01-2024
LONF9SFIK91RMOE,CUSHT8XBYGNEVGZ,22690.57,13.3,05-01-2022
LONNXPD7ITGEGVY,CUSCO3ZITP6JKDI,41464.64,10.32,02-06-2019
LONKIRC1AM0UGB6,CUSLH1A23RVSSQF,26745.67,14.87,06-08-2023
LON123GKJ2RAH55,CUSEWSKMVF77E1K,20341.25,4.4,05-08-2022
LONOKEGVUUQUKGK,CUSI1HVN0BHNL9K,39553.42,9.05,19-07-2019
LONZRP4XY4E6TAI,CUS97K8341932K1,16520.95,8.39,01-09-2024
LONMRCZ0Z3LMUJE,CUSHKNORQF1JWWD,3254.23,7.09,19-12-2020
LON2EX1BWQ6JR7E,CUSLIN9KVIH8MXQ,14076.13,20.0,13-02-2024
